"Date","activity"
"2009-08-09",-0.07
"2009-08-16",-0.197
"2009-08-23",-0.2775
"2009-08-30",-0.09
"2009-09-06",-0.1855
"2009-09-13",5e-04
"2009-09-20",-0.1425
"2009-09-27",-0.1525
"2009-10-04",0.108
"2009-10-11",-0.026
"2009-10-18",0.1555
"2009-10-25",-0.145
"2009-11-01",0.2535
"2009-11-08",0.581
"2009-11-15",0.9675
"2009-11-22",2.289
"2009-11-29",1.7995
"2009-12-06",2.138
"2009-12-13",1.9825
"2009-12-20",1.527
"2009-12-27",0.3945
"2010-01-03",0.0765
"2010-01-10",0.1
"2010-01-17",0.1275
"2010-01-24",-0.264
"2010-01-31",-0.3085
"2010-02-07",-0.208
"2010-02-14",-0.3235
"2010-02-21",-0.4155
"2010-02-28",-0.487
"2010-03-07",-0.5915
"2010-03-14",-0.759
"2010-03-21",-0.5885
"2010-03-28",-0.713
"2010-04-04",-0.7395
"2010-04-11",-0.716
"2010-04-18",-0.6235
"2010-04-25",-0.595
"2010-05-02",-0.6005
"2010-05-09",-0.409
"2010-05-16",-0.333
"2010-05-23",-0.44
"2010-05-30",-0.439
"2010-06-06",-0.4655
"2010-06-13",-0.5525
"2010-06-20",-0.549
"2010-06-27",-0.597
"2010-07-04",-0.7915
"2010-07-11",-0.7135
"2010-07-18",-0.429
"2010-07-25",-0.709
"2010-08-01",-0.608
"2010-08-08",-0.48
"2010-08-15",-0.4285
"2010-08-22",-0.2085
"2010-08-29",-0.2895
"2010-09-05",-0.01
"2010-09-12",-0.258
"2010-09-19",-0.288
"2010-09-26",-0.1155
"2010-10-03",-0.3625
"2010-10-10",-0.4675
"2010-10-17",-0.637
"2010-10-24",-0.6895
"2010-10-31",-0.223
"2010-11-07",0.171
"2010-11-14",0.6485
"2010-11-21",1.7205
"2010-11-28",1.384
"2010-12-05",1.519
"2010-12-12",1.3965
"2010-12-19",1.192
"2010-12-26",0.533
"2011-01-02",0.4655
"2011-01-09",-0.2865
"2011-01-16",-0.004
"2011-01-23",-0.0765
"2011-01-30",-0.2465
"2011-02-06",-0.3945
"2011-02-13",-0.2815
"2011-02-20",-0.131
"2011-02-27",-0.4265
"2011-03-06",-0.4565
"2011-03-13",-0.5375
"2011-03-20",-0.4085
"2011-03-27",-0.392
"2011-04-03",-0.485
"2011-04-10",-0.6045
"2011-04-17",-0.526
"2011-04-24",-0.5945
"2011-05-01",-0.516
"2011-05-08",-0.7
"2011-05-15",-0.482
"2011-05-22",-0.5795
"2011-05-29",-0.437
"2011-06-05",-0.2855
"2011-06-12",-0.3425
"2011-06-19",-0.335
"2011-06-26",-0.1345
"2011-07-03",-0.18
"2011-07-10",-0.285
"2011-07-17",-0.512
"2011-07-24",-0.3135
"2011-07-31",-0.325
"2011-08-07",-0.1745
"2011-08-14",-0.264
"2011-08-21",-0.522
"2011-08-28",-0.1445
"2011-09-04",-0.052
"2011-09-11",-0.2385
"2011-09-18",-0.291
"2011-09-25",-0.2455
"2011-10-02",-0.482
"2011-10-09",-0.3845
"2011-10-16",-0.43
"2011-10-23",-0.5155
"2011-10-30",-0.0245
"2011-11-06",0.1865
"2011-11-13",0.354
"2011-11-20",1.9125
"2011-11-27",1.45
"2011-12-04",1.525
"2011-12-11",1.8305
"2011-12-18",1.313
"2011-12-25",0.595
"2012-01-01",-0.0785
"2012-01-08",-0.4475
"2012-01-15",-0.543
"2012-01-22",-0.417
"2012-01-29",-0.4725
"2012-02-05",-0.7195
"2012-02-12",-0.4165
"2012-02-19",-0.2885
"2012-02-26",-0.5965
"2012-03-04",-0.6285
"2012-03-11",-0.8185
"2012-03-18",-0.893
"2012-03-25",-0.798
"2012-04-01",-0.9685
"2012-04-08",-0.9305
"2012-04-15",-0.8125
"2012-04-22",-0.693
"2012-04-29",-0.8045
"2012-05-06",-0.675
"2012-05-13",-0.6865
"2012-05-20",0.127
"2012-05-27",-0.511
"2012-06-03",-0.5485
"2012-06-10",-0.5205
"2012-06-17",-0.5205
"2012-06-24",-0.562
"2012-07-01",-0.5745
"2012-07-08",-0.586
"2012-07-15",-0.6435
"2012-07-22",-0.5315
"2012-07-29",-0.561
"2012-08-05",-0.4865
"2012-08-12",-0.408
"2012-08-19",-0.4825
"2012-08-26",-0.346
"2012-09-02",-0.4575
"2012-09-09",-0.6235
"2012-09-16",-0.423
"2012-09-23",-0.5775
"2012-09-30",-0.5645
"2012-10-07",-0.6885
"2012-10-14",-0.815
"2012-10-21",-0.7475
"2012-10-28",-0.6175
"2012-11-04",-0.2685
"2012-11-11",0.505
"2012-11-18",1.5515
"2012-11-25",1.102
"2012-12-02",0.946
"2012-12-09",1.1115
"2012-12-16",1.036
"2012-12-23",0.561
"2012-12-30",-0.2765
"2013-01-06",-0.365
"2013-01-13",-0.561
"2013-01-20",-0.752
"2013-01-27",-0.7295
"2013-02-03",-0.7925
"2013-02-10",-0.7945
"2013-02-17",-0.643
"2013-02-24",-0.5955
"2013-03-03",-0.745
"2013-03-10",-0.8305
"2013-03-17",-0.828
"2013-03-24",-0.778
"2013-03-31",-0.885
"2013-04-07",-0.8015
"2013-04-14",-1.047
"2013-04-21",-0.7725
"2013-04-28",-0.957
"2013-05-05",-0.839
"2013-05-12",-0.787
"2013-05-19",-0.8005
"2013-05-26",-0.7375
"2013-06-02",-0.6045
"2013-06-09",-0.8055
"2013-06-16",-0.516
"2013-06-23",-0.781
"2013-06-30",-0.886
"2013-07-07",-0.5605
"2013-07-14",-0.7445
"2013-07-21",-0.829
"2013-07-28",-0.62
"2013-08-04",-0.593
"2013-08-11",-0.6845
"2013-08-18",-0.546
"2013-08-25",-0.65
"2013-09-01",-0.42
"2013-09-08",-0.5645
"2013-09-15",-0.8785
"2013-09-22",-0.78
"2013-09-29",-0.616
"2013-10-06",-0.712
"2013-10-13",-0.7405
"2013-10-20",-0.685
"2013-10-27",-0.481
"2013-11-03",0.0035
"2013-11-10",0.187
"2013-11-17",0.4365
"2013-11-24",1.4745
"2013-12-01",1.329
"2013-12-08",1.338
"2013-12-15",1.142
"2013-12-22",0.905
"2013-12-29",-0.207
"2014-01-05",-0.702
"2014-01-12",-0.5605
"2014-01-19",-0.6585
"2014-01-26",-0.6765
"2014-02-02",-0.819
"2014-02-09",-0.8775
"2014-02-16",-0.8805
"2014-02-23",-0.829
"2014-03-02",-0.917
"2014-03-09",-0.9655
"2014-03-16",-0.912
"2014-03-23",-0.8265
"2014-03-30",-0.769
"2014-04-06",-1.0285
"2014-04-13",-0.943
"2014-04-20",-1.007
"2014-04-27",-0.7405
"2014-05-04",-0.922
"2014-05-11",-0.9555
"2014-05-18",-0.891
"2014-05-25",-0.649
"2014-06-01",-0.882
"2014-06-08",-0.7765
"2014-06-15",-0.892
"2014-06-22",-0.7545
"2014-06-29",-0.791
"2014-07-06",-0.7995
"2014-07-13",-0.888
"2014-07-20",-0.8055
"2014-07-27",-0.7525
"2014-08-03",-0.8805
"2014-08-10",-0.8165
"2014-08-17",-0.653
"2014-08-24",-0.7405
"2014-08-31",-0.513
"2014-09-07",-0.722
"2014-09-14",-0.8235
"2014-09-21",-0.9
"2014-09-28",-0.719
"2014-10-05",-0.803
"2014-10-12",-0.854
"2014-10-19",-0.7865
"2014-10-26",-0.697
"2014-11-02",-0.3655
"2014-11-09",-0.152
"2014-11-16",0.063
"2014-11-23",1.113
"2014-11-30",0.9955
"2014-12-07",1.154
"2014-12-14",1.141
"2014-12-21",1.0395
"2014-12-28",-0.0665
"2015-01-04",-0.6795
"2015-01-11",-0.746
"2015-01-18",-0.8165
"2015-01-25",-0.8035
"2015-02-01",-1.0345
"2015-02-08",-1.0645
"2015-02-15",-0.864
"2015-02-22",-0.8795
"2015-03-01",-0.9515
"2015-03-08",-1.082
